symbol,token,exchange
704MZ30-SG,22019,NSE
NAZARA-EQ,2987,NSE
GROWWN200-EQ,29872,NSE
799NIIF37-N0,29960,NSE
703PY28-SG,22029,NSE
659RJ30-SG,22073,NSE
709UP30-SG,22096,NSE
663TN55-SG,22102,NSE
AONETOTAL-EQ,29975,NSE
727CG35-SG,30007,NSE
BALAJIPHOS-SM,30030,NSE
705TN26-SG,22119,NSE
717TN29-SG,22123,NSE
719WB29-SG,22148,NSE
718CG30-SG,22163,NSE
KOHINOOR-EQ,3009,NSE
990IIFL27A-N0,30059,NSE
MOCAPITAL-EQ,30065,NSE
729UK29-SG,22171,NSE
65WB30-SG,22174,NSE
685WB30A-SG,22226,NSE
SGBJUL28IV-GB,22242,NSE
65GA30-SG,22261,NSE
65AP38-SG,22295,NSE
64GJ30-SG,22296,NSE
719RJ35-SG,30097,NSE
704TN30B-SG,30178,NSE
714MP32-SG,30179,NSE
714CG32-SG,30181,NSE
902SCL28-N1,30238,NSE
696KA30-SG,30418,NSE
702GJ33-SG,30427,NSE
704HR37-SG,30438,NSE
703MP31-SG,2239,NSE
649KA31-SG,22336,NSE
668GA30-SG,22405,NSE
668WB30-SG,22411,NSE
SBIN-EQ,3045,NSE
71AS45-SG,30447,NSE
71PN45-SG,30448,NSE
71WB45-SG,30449,NSE
677KA33-SG,22421,NSE
64KA30A-SG,22452,NSE
668AP35-SG,22453,NSE
671TS50-SG,22457,NSE
SCI-EQ,3048,NSE
707TS52-SG,30452,NSE
FELDVR-BZ,30491,NSE
819CIFL27-N0,30492,NSE
ADDICTIVE-SM,22468,NSE
KONSTELEC-ST,22475,NSE
763MH36-SG,22502,NSE
ITBETA-EQ,22488,NSE
69GJ30-SG,3064,NSE
68UK31-SG,3067,NSE
MHLSRD-SF,30560,NSE
MHLSRDR-SF,30562,NSE
697RJ51A-SG,2257,NSE
755TN54-SG,22509,NSE
GILT10BETA-EQ,22524,NSE
HDFCPSUBK-EQ,22595,NSE
SHREECEM-EQ,3103,NSE
846REC28-N6,30984,NSE
862REC33-NA,30992,NSE
71MH32-SG,313,NSE
UFBL-EQ,3127,NSE
751RJ34-SG,22611,NSE
749TS35-SG,22614,NSE
752BR39-SG,22619,NSE
748MP40-SG,22620,NSE
705HR40-SG,321,NSE
664GS2035-GS,3204,NSE
685NL31-SG,3265,NSE
752MZ40-SG,22621,NSE
746AP41A-SG,22622,NSE
746TS45-SG,22625,NSE
8ABHF34-N4,22635,NSE
SUBROS-EQ,3324,NSE
SUDARSCHEM-EQ,3327,NSE
677TN31-SG,3364,NSE
742GJ33-SG,22697,NSE
746CG33-SG,22698,NSE
LICNMID100-EQ,22722,NSE
MON100-EQ,22739,NSE
SMLMAH-EQ,3387,NSE
AJOONI-EQ,3403,NSE
TATACONSUM-EQ,3432,NSE
795IGT31-NI,3457,NSE
THOMASCOOK-EQ,3481,NSE
PGINVIT-IV,3494,NSE
696AP36-SG,3576,NSE
683MH32A-SG,3665,NSE
747MH36-SG,22752,NSE
747BR39-SG,22755,NSE
744KA34-SG,22868,NSE
742RJ39-SG,22869,NSE
744IRFC34-NR,22887,NSE
836GIL26-N0,22905,NSE
742KA35-SG,22993,NSE
741KA36-SG,22996,NSE
645BR27-SG,3695,NSE
VIPIND-EQ,3703,NSE
681MH31-SG,3704,NSE
686MH32-SG,3707,NSE
705RJ41-SG,3716,NSE
VSTIND-EQ,3724,NSE
1077IIFL30-N7,23024,NSE
LANCORHOL-EQ,23027,NSE
737RJ34A-SG,23082,NSE
SINTERCOM-EQ,381,NSE
ZEEL-EQ,3812,NSE
PARASPETRO-EQ,3972,NSE
PANACEABIO-EQ,4055,NSE
736KA34-SG,23083,NSE
741AR34-SG,23084,NSE
736KL54-SG,23104,NSE
SAMBHAAV-EQ,4127,NSE
GS220261P-GS,4395,NSE
GS220231C-GS,4429,NSE
KEYFINSERV-EQ,4157,NSE
835KSFL27-N0,23168,NSE
744TS30-SG,23189,NSE
746UP32-SG,23191,NSE
747AS34-SG,23197,NSE
703TS51-SG,4556,NSE
692HR36A-SG,4612,NSE
688UP31A-SG,4757,NSE
759IRDA34-NC,23250,NSE
10SCL31-Z1,23309,NSE
1050SCFL31-Z2,23311,NSE
748RJ37-SG,23207,NSE
AISL-SM,482,NSE
707HR37-SG,4784,NSE
712AP37-SG,4789,NSE
DCMFINSERV-EQ,4775,NSE
AQYLON-EQ,23365,NSE
743TN34-SG,23326,NSE
744RJ34A-SG,23346,NSE
890MFL27-NK,23361,NSE
695PN31-SG,4887,NSE
694UP31A-SG,4889,NSE
SAREGAMA-EQ,4892,NSE
749PN32-SG,23422,NSE
745HP44-SG,23424,NSE
743MH39-SG,23429,NSE
RADIOWALLA-ST,23445,NSE
72KL56-SG,4899,NSE
96SFIL24A-NB,4930,NSE
ICICIBANK-EQ,4963,NSE
694MH31-SG,4993,NSE
610GS2031-GS,5012,NSE
SVPGLOB-BE,5023,NSE
818CANF29-N1,23449,NSE
745MH41-SG,23495,NSE
748UP40-SG,23543,NSE
748HR34-SG,23547,NSE
712AP35-SG,5041,NSE
CLEAN-EQ,5049,NSE
701UP31-SG,5089,NSE
SGIL-EQ,5114,NSE
748AP44A-SG,23589,NSE
BALUFORGE-EQ,23607,NSE
BOMDYEING-EQ,513,NSE
JAICORPLTD-EQ,5143,NSE
697TN31A-SG,5173,NSE
GIRIRAJ-SM,2365,NSE
AAFS27B-N3,23628,NSE
MUTHOOTFIN-EQ,23650,NSE
698TN31A-SG,5230,NSE
71MH36-SG,5232,NSE
67AS27-SG,2374,NSE
ROLEXRINGS-EQ,5279,NSE
FMCGIETF-EQ,5306,NSE
747HP33-SG,23673,NSE
746AP38A-SG,23682,NSE
858CIF27-NU,23734,NSE
698GJ31-SG,5334,NSE
679WB28A-SG,5344,NSE
707GJ31-SG,2381,NSE
TBOTEK-EQ,23740,NSE
MANDEEP-SM,23779,NSE
74AP41-SG,23817,NSE
BRITANNIA-EQ,547,NSE
NGIL-BE,5404,NSE
697GA31-SG,5469,NSE
702GS2027-GS,23854,NSE
BEACON-SM,23922,NSE
738AP49-SG,24002,NSE
743AP42B-SG,24010,NSE
GRSE-EQ,5475,NSE
599MP26-SG,5525,NSE
705TS35-SG,5526,NSE
687HR31-SG,5536,NSE
722RJ41-SG,2413,NSE
738PY38A-SG,24048,NSE
GPECO-ST,24113,NSE
10IIFLSF27-NB,24139,NSE
704KL34-SG,5539,NSE
712WB51-SG,5542,NSE
689PN31-SG,5560,NSE
GANESHBE-BE,5617,NSE
734AP35-SG,24182,NSE
SYMPHONY-EQ,24190,NSE
731TS42-SG,24192,NSE
687JH31-SG,5676,NSE
687AP40-SG,5741,NSE
683GA31-SG,5882,NSE
699KL36-SG,5891,NSE
OMINFRAL-EQ,24231,NSE
AKIKO-ST,24307,NSE
753ICICI34-N0,24328,NSE
NEPHROCARE-ST,24353,NSE
645MH27-SG,599,NSE
692UP31-SG,6000,NSE
696KA31-SG,6095,NSE
SBISILVER-EQ,24366,NSE
732RJ34-SG,24422,NSE
731TN54-SG,24424,NSE
756RECL27-N0,24500,NSE
66RJ30A-SG,611,NSE
698RJ31-SG,6100,NSE
930SFL28-YP,6149,NSE
875IIFL26-NM,6200,NSE
734TS37-SG,24566,NSE
733TS42-SG,24570,NSE
SIKKO-BE,6226,NSE
3IINFOLTD-EQ,6232,NSE
662CG28-SG,6315,NSE
MIDHANI-EQ,2463,NSE
830ABHFL34-N0,24636,NSE
734HR36-SG,24650,NSE
735RJ49-SG,24661,NSE
695BR30-SG,6318,NSE
693GJ31A-SG,6320,NSE
NATIONALUM-EQ,6364,NSE
UTSSAV-ST,24729,NSE
725HP33-SG,24751,NSE
729TS42-SG,24758,NSE
727KL59-SG,24764,NSE
GSEC10ABSL-EQ,24847,NSE
SUYOG-EQ,24851,NSE
SSDL-EQ,24856,NSE
698BR30-SG,6478,NSE
706JK33-SG,6484,NSE
NIDAN-SM,6592,NSE
725HR39-SG,24887,NSE
719TN34-SG,24895,NSE
BRACEPORT-SM,24905,NSE
75GS2034-GS,6873,NSE
692HP33-SG,6881,NSE
833GS2036-GS,6883,NSE
727MN36-SG,24984,NSE
687KA31-SG,6887,NSE
724MH39-SG,24990,NSE
723JK54-SG,25000,NSE
723RJ33-SG,25008,NSE
761LIC34-N0,25042,NSE
MENONBE-BE,6971,NSE
692TN46-SG,6993,NSE
ASIANENE-EQ,7030,NSE
774LIC28-N0,25047,NSE
PREMIERENE-EQ,25049,NSE
TOP10ADD-EQ,25171,NSE
726BOB34-N0,25176,NSE
687AS31A-SG,7041,NSE
694JK36-SG,7044,NSE
696TS45-SG,7055,NSE
662GS2051-GS,7193,NSE
657GS2033-GS,7194,NSE
BBETF0432-EQ,7196,NSE
JTLIND-EQ,7287,NSE
721BR33-SG,25214,NSE
VIESL-SM,25231,NSE
XTGLOBAL-EQ,25235,NSE
702KL28-SG,2537,NSE
705WB36A-SG,7319,NSE
713TS36-SG,25357,NSE
ARKADE-EQ,25398,NSE
HEXAGON-BE,750116,NSE
713AS34-SG,25355,NSE
714HP33-SG,7536,NSE
812LTFL29-N0,751598,NSE
QMSMEDI-EQ,751607,NSE
PSFL-SM,25431,NSE
722PFCL39-N0,25437,NSE
815SICC27-N0,25451,NSE
723PN31-SG,2557,NSE
712WB36-SG,7548,NSE
707MH32-SG,25491,NSE
711MH36-SG,25499,NSE
74SIDBI31-N0,754233,NSE
SMALLIETF-EQ,754612,NSE
EVIETF-EQ,755881,NSE
902SCL27C-N1,25550,NSE
HUHTAMAKI-EQ,2562,NSE
MANBA-EQ,25597,NSE
RAPPID-SM,25610,NSE
850TIAPL28-N0,755930,NSE
1039UCL26-NE,755998,NSE
735SFL27-N0,756008,NSE
815ANN30-N0,756027,NSE
THESL-ST,25651,NSE
714AP44-SG,25696,NSE
METAL-EQ,25744,NSE
78618ABH28-N0,756043,NSE
675MH39-SG,756064,NSE
678MH39-SG,756096,NSE
665HP32-SG,756100,NSE
716JK49-SG,25775,NSE
KANANIIND-EQ,25786,NSE
815PHFL27-N0,25805,NSE
709RJ35-SG,25825,NSE
679HP34-SG,756102,NSE
679TS52-SG,756105,NSE
935IIFL28-NZ,756143,NSE
IIFL21425A-Y1,756145,NSE
MEP-BZ,25882,NSE
710KA35-SG,25884,NSE
712INBK34-N0,25931,NSE
GODAVARIB-EQ,25941,NSE
707LICH30-N0,756707,NSE
832HHFL27A-N0,756716,NSE
694PGCIL35-N0,756743,NSE
642TN31-SG,756787,NSE
PFIZER-EQ,2643,NSE
SIHF27-N0,25950,NSE
717AP43-SG,25963,NSE
716TS47-SG,25967,NSE
709TS59-SG,756791,NSE
7123TCHF27-N0,756823,NSE
GROWWSLVR-EQ,756827,NSE
930PFL27A-N0,756838,NSE
725WB41-SG,2657,NSE
702PN28-SG,2668,NSE
706UK30A-SG,27001,NSE
875BTL29-N0,27031,NSE
679PN45-SG,756860,NSE
ENRIN-EQ,756871,NSE
633GS2035-GS,756890,NSE
AAFS29A-N0,756950,NSE
LIQUIDPLUS-EQ,27075,NSE
723SBI39-N0,27128,NSE
91PFL27-N0,756956,NSE
727TCHFL28-N0,756994,NSE
671MN40-SG,757036,NSE
686RJ52-SG,757041,NSE
718BR34-SG,27188,NSE
719UP36-SG,27198,NSE
718RJ38-SG,27201,NSE
RAJOOENG-BE,757052,NSE
669GJ35-SG,757110,NSE
677AS40-SG,757113,NSE
747ABCL29-N0,757146,NSE
930APMD28-N0,757180,NSE
738CIFL27-N0,757343,NSE
718AP40A-SG,27203,NSE
EIEL-EQ,27213,NSE
711HP34-SG,27313,NSE
716GA31-SG,2746,NSE
708RJ34-SG,27314,NSE
711AP38A-SG,27316,NSE
677KL37-SG,757386,NSE
692TN45-SG,757394,NSE
642JK31A-SG,757426,NSE
659PFCL30-N0,757451,NSE
SCL1825-N5,757461,NSE
925SCL2028-N8,757464,NSE
925SCL30-NF,757471,NSE
995SCL2035-NM,757497,NSE
GICRE-EQ,277,NSE
704GJ33-SG,27660,NSE
INNOVANA-EQ,27754,NSE
775LTFL27-N0,27803,NSE
JUBLINGREA-EQ,2783,NSE
SAILIFE-EQ,27839,NSE
780SICC29-N0,27907,NSE
BLUSPRING-EQ,757520,NSE
71WB50-SG,757555,NSE
706RECL35-N0,757575,NSE
945SCL29-N0,757612,NSE
ATHERENERG-EQ,757645,NSE
714MZ40-SG,757650,NSE
714MH45-SG,757654,NSE
SFML-SM,28069,NSE
712BR34-SG,28213,NSE
711KA35-SG,28220,NSE
CEDAAR-ST,757690,NSE
71KL45-SG,757714,NSE
12VCCL29C-N0,757721,NSE
649OR30-SG,757729,NSE
710KL42-SG,28256,NSE
710TS47-SG,28277,NSE
799TFSIL27-N0,28539,NSE
ANURAS-EQ,2829,NSE
670GJ33-SG,757731,NSE
706HR39-SG,757751,NSE
HDBFS-EQ,757772,NSE
RCF-EQ,2866,NSE
990IIFL27-N0,28569,NSE
TRANSRAILL-EQ,28714,NSE
796WB37-SG,10213,NSE
BRIGHOTEL-EQ,757794,NSE
IGCL-EQ,757801,NSE
717KL51-SG,757832,NSE
CEWATER-EQ,28764,NSE
865IHFL27-N1,28856,NSE
965SCL26Y-N1,28898,NSE
MAYURUNIQ-EQ,28906,NSE
782WB32-SG,10252,NSE
804PN42-SG,10268,NSE
79TS44-SG,10271,NSE
TSC-ST,757861,NSE
885AEL28-NB,757871,NSE
ANTHEM-EQ,757885,NSE
111ESFB31-N0,757892,NSE
965SCL29S-N1,28924,NSE
1050SCL31T-N1,28928,NSE
1025SCL34Z-N1,28933,NSE
FINPIPE-EQ,1041,NSE
783AS32-SG,10357,NSE
JISLJALEQS-EQ,10397,NSE
87HFL26-N0,28979,NSE
717AP39-SG,28995,NSE
718HR38-SG,28996,NSE
709TS63-SG,757924,NSE
707WB37-SG,757926,NSE
613OR28-SG,757931,NSE
710TS57-SG,757936,NSE
UNITDSPR-EQ,10447,NSE
779AP31-SG,10458,NSE
782NL32-SG,10463,NSE
768GSGL28A-N0,758009,NSE
768GSGL28B-N0,758011,NSE
768GSGL28C-N0,758013,NSE
672KL27-SG,2901,NSE
807WB38-SG,10478,NSE
CONS-EQ,10512,NSE
INDOFARM-EQ,29025,NSE
710KA32-SG,29048,NSE
714MH43-SG,29064,NSE
722MP48-SG,758187,NSE
726MZ40-SG,758191,NSE
719TS49-SG,758196,NSE
AARADHYA-SM,758120,NSE
830TPL28-N0,29096,NSE
DDEVPLSTIK-EQ,29098,NSE
724KL44-SG,29126,NSE
ASAL-EQ,10634,NSE
797AP36-SG,10639,NSE
793TN42-SG,10644,NSE
774AP38-SG,10719,NSE
717RJ52-SG,758197,NSE
627TN29-SG,758200,NSE
700ML35-SG,758204,NSE
799HFL27-N0,758212,NSE
CAPINVIT-IV,29157,NSE
714BR45-SG,29236,NSE
875TVSH30-N0,29245,NSE
735EXIM28-N0,29264,NSE
815TOPO31-N0,758252,NSE
116VCCL26A-N0,758340,NSE
712GA36-SG,758408,NSE
762NTPC35F-ND,10751,NSE
SILVERADD-EQ,10761,NSE
776KL38-SG,10773,NSE
SYRMA-EQ,10793,NSE
12VCCL29A-N0,29274,NSE
705GJ34-SG,29279,NSE
703GJ35-SG,29281,NSE
713WB44-SG,29291,NSE
118VCCL27A-N0,758533,NSE
ELLEN-EQ,758563,NSE
SHKSIL-SM,758568,NSE
685ML31-SG,2937,NSE
711TS47-SG,29297,NSE
AGARWALEYE-EQ,29452,NSE
MOVALUE-EQ,10825,NSE
SEYAIND-BE,10836,NSE
771AP37-SG,10848,NSE
748BR39-SG,758580,NSE
ARFIN-EQ,758700,NSE
975ISF35-N0,758708,NSE
PROTEAN-EQ,29472,NSE
707GJ34-SG,29499,NSE
GABRIEL-EQ,1085,NSE
767KL34-SG,10851,NSE
753HR30-SG,10855,NSE
GRMOVER-EQ,10871,NSE
749RJ35-SG,758718,NSE
74GA37-SG,758719,NSE
1025PATE28-N0,758732,NSE
CLASSICEIL-SM,758736,NSE
716KL38-SG,29506,NSE
712MH38A-SG,29507,NSE
716AS40-SG,29513,NSE
719TS46-SG,29516,NSE
HDFCSILVER-EQ,10876,NSE
JFLLIFE-SM,10885,NSE
GENESYS-EQ,10905,NSE
758GA37-SG,10912,NSE
723RJ35-SG,758820,NSE
AAFS30-N0,758852,NSE
675GJ27-SG,29517,NSE
725NBFI40-N0,29525,NSE
KEN-SM,29547,NSE
714HR38B-SG,29570,NSE
748MP42-SG,758883,NSE
701GJ31A-SG,758924,NSE
731TN34-SG,758930,NSE
364D030926-TB,758940,NSE
MARUTI-EQ,10999,NSE
DCMNVL-EQ,11039,NSE
SECURKLOUD-EQ,11058,NSE
728IRFC40-N0,29641,NSE
779LTFL30-N0,29643,NSE
PSRAJ-ST,29665,NSE
ELM250-EQ,758952,NSE
765TPREL40-N0,758991,NSE
673PFCL27-N0,759021,NSE
726TN35-SG,759027,NSE
SGBAUG30-GB,11192,NSE
INDIGO-EQ,11195,NSE
718BR45B-SG,29702,NSE
QPOWER-EQ,29711,NSE
364D240926-TB,759047,NSE
SAATVIKGL-EQ,759057,NSE
709PY31-SG,759168,NSE
769GA32-SG,11283,NSE
SHK-EQ,11212,NSE
VIVIDHA-EQ,29877,NSE
716KA32-SG,29913,NSE
717TN33-SG,29914,NSE
TIGERLOGS-BE,759179,NSE
715TN32-SG,759181,NSE
719TN33-SG,759182,NSE
733JH34-SG,759183,NSE
778MZ37-SG,11294,NSE
915SCL27-Z7,11361,NSE
VAIBHAVGBL-EQ,11364,NSE
905SC24B-Z9,11368,NSE
72CG34-SG,29917,NSE
72TN55-SG,29941,NSE
722KA32-SG,29997,NSE
748PY36-SG,759187,NSE
749PN40-SG,759231,NSE
950ISF35-N0,759249,NSE
NDTV-EQ,11427,NSE
LICNETFSEN-EQ,11441,NSE
PILANIINVS-EQ,11445,NSE
685KA30-SG,300,NSE
WONDERLA-EQ,3002,NSE
905CIFL32-N0,30047,NSE
722JK32-SG,30072,NSE
QSIFHRG-SF,759298,NSE
707GJ34A-SG,759308,NSE
RUBICON-EQ,759316,NSE
751MP48-SG,759332,NSE
LLOYDS-SM,11472,NSE
KRIDHANINF-BE,11488,NSE
781GJ32-SG,11506,NSE
723HR39-SG,30081,NSE
726HP35-SG,30084,NSE
SELECTIPO-EQ,30109,NSE
692JH28-SG,30174,NSE
364D021026-TB,759341,NSE
73TS51-SG,759378,NSE
727AP36-SG,759387,NSE
GMBREW-EQ,1168,NSE
777JK37-SG,11604,NSE
SALSTEEL-EQ,11634,NSE
648GS2035-GS,759396,NSE
74MP47-SG,759493,NSE
975PCPL27-N0,759494,NSE
678WB35-SG,1169,NSE
783GA32-SG,11683,NSE
784RJ32-SG,11691,NSE
PATELENG-EQ,11699,NSE
717UK32-SG,30180,NSE
715TN33-SG,30182,NSE
717UP33-SG,30183,NSE
793NIIF32-N0,30200,NSE
919PFL28-N0,759561,NSE
788MFL28-N0,759498,NSE
GROWWSC250-EQ,759522,NSE
SOTL-EQ,3021,NSE
1025SCL35A-N1,30204,NSE
925SCL27B-N1,30220,NSE
971SCL30A-N1,30224,NSE
ALKEM-EQ,11703,NSE
CONSOFINVT-BE,11732,NSE
SAKSOFT-EQ,11794,NSE
754KA39-SG,759703,NSE
701TN32-SG,759735,NSE
MODIS-EQ,759752,NSE
ADVENTHTL-EQ,759769,NSE
1050SCL32-N1,30242,NSE
758LICH35A-N0,30277,NSE
ESSENTIA-EQ,30323,NSE
AMBER-EQ,1185,NSE
WELCORP-EQ,11821,NSE
SURYALAXMI-EQ,11852,NSE
JKPAPER-EQ,11860,NSE
FINBUD-SM,759776,NSE
692AVTL28-N0,759789,NSE
EUROPRATIK-EQ,759797,NSE
702AS30A-SG,30417,NSE
704RJ32-SG,30423,NSE
UTFDAIPIGI-MF,30425,NSE
71HP40-SG,30442,NSE
63MOONS-EQ,11868,NSE
787HP35-SG,11869,NSE
782NL32A-SG,11881,NSE
VHL-EQ,11892,NSE
CAPILLARY-EQ,759867,NSE
68KL31-SG,3070,NSE
684JK31-SG,3073,NSE
707TS55-SG,30453,NSE
NEUEON-BE,30554,NSE
ESG-EQ,1200,NSE
GEOJITFSL-EQ,11896,NSE
RITEZONE-SM,11910,NSE
768BR32-SG,11985,NSE
MOIPO-EQ,759891,NSE
803MFL31-N0,759899,NSE
724GJ33-SG,759910,NSE
BAJAJHIND-EQ,308,NSE
696JK35-SG,314,NSE
82HUDCO27-N2,31240,NSE
888ECL28-N1,759974,NSE
SUZLON-EQ,12018,NSE
AURIONPRO-EQ,12022,NSE
799GSGL28-N0,759941,NSE
JARO-EQ,759951,NSE
ECOLINE-ST,759964,NSE
SIMPLEXINF-EQ,3162,NSE
779MN42-SG,31613,NSE
781JK51-SG,31619,NSE
65KA30A-SG,1227,NSE
698GJ32-SG,759985,NSE
GROWWCAPM-EQ,760051,NSE
675RJ31-SG,3195,NSE
NITIRAJ-EQ,3247,NSE
SPIC-EQ,3252,NSE
901NHB34-N6,31970,NSE
768HR31-SG,12295,NSE
772WB41-SG,760062,NSE
675HP29-SG,760063,NSE
744ML35-SG,760093,NSE
749PN35A-SG,760094,NSE
SURYAROSNI-EQ,3375,NSE
79IGT28-NF,3433,NSE
749IGT28-NG,3442,NSE
BBOX-EQ,3435,NSE
763TS44-SG,12328,NSE
772BR41-SG,760147,NSE
182D270826-TB,760165,NSE
MOBILISE-ST,760199,NSE
677KA34-SG,35,NSE
THERMAX-EQ,3475,NSE
TATASTEEL-EQ,3499,NSE
TITAN-EQ,3506,NSE
762AS32-SG,12666,NSE
768JK37-SG,12701,NSE
72190LTFL2-N0,760211,NSE
729NHPC32-N0,760250,NSE
723TN35-SG,760341,NSE
694AP37-SG,3513,NSE
EQUIPPP-BE,3553,NSE
JUBLPHARMA-EQ,3637,NSE
915APSBC30-N0,760370,NSE
RUDRA-EQ,760392,NSE
895PAPL27-N0,760463,NSE
69RJ29-SG,760479,NSE
MAHLOG-EQ,385,NSE
678KL31-SG,3655,NSE
WEIZMANIND-EQ,3748,NSE
701AP39-SG,3762,NSE
747TN36-SG,760512,NSE
76KL42-SG,760518,NSE
759WB47-SG,760521,NSE
E2ERAIL-ST,760534,NSE
CORALFINAC-EQ,4007,NSE
ZENITHEXPO-EQ,4176,NSE
KHAITANLTD-EQ,3912,NSE
729NHPC34-N0,760537,NSE
729NHPC37-N0,760543,NSE
734KA34-SG,760564,NSE
759MP38A-SG,760570,NSE
691UP30A-SG,439,NSE
HDFCAMC-EQ,4244,NSE
DENORA-EQ,4279,NSE
943ECL28-NJ,4288,NSE
76WB47-SG,760589,NSE
603GS2029-GS,760622,NSE
9PCPL28-N0,760654,NSE
69GA30A-SG,440,NSE
GS220261C-GS,4555,NSE
678GA31-SG,4578,NSE
683MH32B-SG,4580,NSE
1225IFL28-N0,760656,NSE
765MZ41-SG,760670,NSE
763WB46-SG,760680,NSE
732KA33A-SG,760768,NSE
681KL31-SG,4581,NSE
AILIMITED-SM,4626,NSE
706TS41-SG,4792,NSE
775CG42-SG,760792,NSE
7PFCL36-N4,760802,NSE
754MH37-SG,760847,NSE
691TN31-SG,760877,NSE
696GA31-SG,4880,NSE
719ML41-SG,4895,NSE
FDC-EQ,4898,NSE
DSFCL-BE,760893,NSE
731TN33A-SG,760907,NSE
783HR43-SG,760922,NSE
782WB45-SG,760932,NSE
KOPRAN-BE,4951,NSE
675BR27-SG,4980,NSE
70UK31-SG,5040,NSE
784WB47-SG,760934,NSE
784TS47-SG,760936,NSE
FRACTAL-EQ,760961,NSE
734MP34-SG,761015,NSE
759KA38-SG,13049,NSE
753TS47-SG,13051,NSE
IIFLCAPS-EQ,13072,NSE
ORIENTCER-EQ,13111,NSE
GRINFRA-EQ,5054,NSE
SHEMAROO-BE,5072,NSE
875PFL31-N9,5155,NSE
INFRA-EQ,761030,NSE
805NMC30-N2,761076,NSE
805NMC35-N7,761081,NSE
INDUSINDBK-EQ,5258,NSE
758BR32-SG,13113,NSE
KERNEX-EQ,13121,NSE
SBIMIDMOM-EQ,761095,NSE
ACETEC-SM,761112,NSE
865IIFL31-Y6,761118,NSE
ALGOQUANT-EQ,761270,NSE
697AS31-SG,5416,NSE
EPIGRAL-EQ,5382,NSE
692HR30-SG,5415,NSE
755GA32-SG,13124,NSE
EBBETF0433-EQ,13139,NSE
PVRINOX-EQ,13147,NSE
753HR38-SG,761327,NSE
758KA40-SG,761329,NSE
797TOPO36-N0,761360,NSE
774TR41-SG,761372,NSE
699WB31-SG,5470,NSE
719KL51-SG,5479,NSE
749ML27-SG,13239,NSE
765GA32-SG,13243,NSE
JKCEMENT-EQ,13270,NSE
860IIFL27-N0,761391,NSE
809HFL33-N0,761426,NSE
766JCL31-N0,761436,NSE
777KL48-SG,761450,NSE
667GS2035-GS,5577,NSE
INTLCONV-EQ,5606,NSE
BSL-EQ,559,NSE
HEG-EQ,1336,NSE
M&MFIN-EQ,13285,NSE
ORTEL-BZ,13321,NSE
364D190327-TB,761481,NSE
779UP51-SG,761524,NSE
723EXIM31-N0,761526,NSE
727NBRD29A-N0,761536,NSE
687UP31-SG,5695,NSE
676TN31-SG,5742,NSE
935SCL28-NV,5861,NSE
762AR32-SG,13372,NSE
76KA32A-SG,13374,NSE
742HR32-SG,761552,NSE
761KA34-SG,761554,NSE
774ML35-SG,761558,NSE
776GA38-SG,761568,NSE
661KA30-SG,593,NSE
685AS31A-SG,5881,NSE
AXISBANK-EQ,5900,NSE
769PY37-SG,13397,NSE
768PN39-SG,13398,NSE
788KL46-SG,761576,NSE
ALSDP-SF,761593,NSE
AEROPLANE-EQ,761670,NSE
NIMBSPROJ-EQ,761720,NSE
SGBOCT26-GB,5960,NSE
689GJ31-SG,5977,NSE
705KL36-SG,5991,NSE
709TS40-SG,5998,NSE
RATNAMANI-EQ,13451,NSE
ALLCARGO-EQ,13501,NSE
RAMANEWS-EQ,13565,NSE
SBINMID150-EQ,761741,NSE
804WB52-SG,761753,NSE
GSPCROP-EQ,762239,NSE
865IRFC29-NA,603,NSE
665ML30-SG,609,NSE
COASTCORP-EQ,6006,NSE
PASUPTAC-BE,6048,NSE
765SICCL31-N0,762403,NSE
75HR29-SG,13594,NSE
PANSARI-EQ,6141,NSE
842IIFL26-NL,6197,NSE
BLIL-EQ,762603,NSE
GEECEE-BE,13662,NSE
INFOMEDIA-EQ,13693,NSE
757TN33-SG,13715,NSE
691MP40-SG,629,NSE
PREMIER-BE,6248,NSE
MEDICAMEQ-EQ,6278,NSE
GRANDOAK-EQ,762695,NSE
BBL-EQ,13761,NSE
GREENPANEL-EQ,13810,NSE
762UK33-SG,13716,NSE
PARSVNATH-BE,13795,NSE
DNAMEDIA-EQ,641,NSE
NIFTYETF-EQ,6353,NSE
703MN31-SG,6479,NSE
MERCANTILE-EQ,762792,NSE
DONEAR-EQ,13839,NSE
865IIFL28-NS,13852,NSE
KUANTUM-EQ,13870,NSE
765TN33-SG,13874,NSE
IRIS-EQ,6489,NSE
FOODSIN-EQ,6673,NSE
SAPPHIRE-EQ,6718,NSE
RRIL-EQ,762864,NSE
SAYAJIHOTL-EQ,762879,NSE
SIKA-EQ,762914,NSE
782TS47-SG,763067,NSE
76KL45-SG,13911,NSE
NFL-EQ,13925,NSE
LIQUID1-EQ,13950,NSE
364D290427-TB,763205,NSE
97CCSP29-N0,763272,NSE
684TS40-SG,68,NSE
698WB37-SG,6749,NSE
699MP41-SG,6750,NSE
795GS2032-GS,6835,NSE
807ABCL36-N0,763252,NSE
761SIDBI29-N0,763254,NSE
772UP36-SG,13973,NSE
765TN53-SG,13997,NSE
WANBURY-EQ,14063,NSE
775MN33-SG,763369,NSE
750TN32-SG,763285,NSE
11MCS27-N0,763292,NSE
BAGMANE-RR,763363,NSE
CHOLAFIN-EQ,685,NSE
824GS2027-GS,6884,NSE
